Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"C Liu, H Ye, S Lu, Z Tang, Z Bai, L Diao…","Skeleton extraction and pose estimation of piglets using ZS-DLC-PAF",2023,"International Journal of …","ijabe.org","https://www.ijabe.org/index.php/ijabe/article/view/6930","",11,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,7,1,"… The multi-target tracking accuracy of DLC can reach more … DLC provides the basis for realizing pig posture analysis in the … Node Detection Based on DLC DLC used a neural network in …","https://www.ijabe.org/index.php/ijabe/article/download/6930/pdf","https://scholar.google.com/scholar?q=related:pgQTDKDTed0J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"K Correia, R Walker, C Pittenger…","A comparison of machine learning methods for quantifying self-grooming behavior in mice",2024,"Frontiers in Behavioral …","search.proquest.com","https://search.proquest.com/openview/98f6954c70083dcf2e82a51f55bbf7aa/1?pq-origsite=gscholar&cbl=2046456","",12,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,4,1,"… behavioral analysis pipelines—DeepLabCut (DLC) and Simple … analyzed in parallel using 3 methods (DLC/SimBA, HCS, and … DLC/SimBA duration measurements were not significantly …","","https://scholar.google.com/scholar?q=related:9IHaanmF8QEJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
12,"O Sturman, L von Ziegler, C Schläppi, F Akyol, B Grewe…","Deep learning based behavioral analysis enables high precision rodent tracking and is capable of outperforming commercial solutions",2020,"BioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2020.01.21.913624.abstract","https://scholar.google.com/scholar?cites=12264423055245789491&as_sdt=2005&sciodt=2007&hl=en",13,"2024-02-14 17:48:04","","10.1101/2020.01.21.913624.abstract","","",,,,,12,3.00,2,6,4,"… This report shows that DeepLabCut (DLC) video tracking combined with simple post-hoc analyses can analyse behavioral data as well as - if not better than - commercial solutions. With …","https://www.biorxiv.org/content/10.1101/2020.01.21.913624.full.pdf","https://scholar.google.com/scholar?q=related:M0kJ_8n7M6oJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"CK Frostemark","Quantification of motor behaviour in freely moving rodents",,"lup.lub.lu.se","","https://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=9078427&fileOId=9078454","",14,"2024-02-14 17:48:04","PDF","","","",,,,,0,0.00,0,1,,"… The deep learning method done by deep learning based segmentation and object tracking in DeepLabCut (DLC), described in section 3.3 resulted in an accuracy of classifying a …","https://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=9078427&fileOId=9078454","https://scholar.google.com/scholar?q=related:xY5lBLZsac0J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"Q Astrachan, D Hosein, D Amin, T Araim, T Alkhazali…","Machine Learning and Reaching Behavior Patterns in Awake Mouse Model",2022,"","digitalcommons.pcom.edu","https://digitalcommons.pcom.edu/research_day/research_day_GA_2022/researchGA2022/8/","",15,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,6,2,"… Deep Lab Cut (DLC) to track the reaching behavior. The goal is to correlate frame data from the DLC … The recordings were then analyzed using DLC and correlated with reaching …","","https://scholar.google.com/scholar?q=related:W-u15qzLoWsJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
4,"V Kosourikhina, D Kavanagh, MJ Richardson…","Validation of deep learning-based markerless 3D pose estimation",2022,"Plos one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0276258","https://scholar.google.com/scholar?cites=11422916338067848939&as_sdt=2005&sciodt=2007&hl=en",16,"2024-02-14 17:48:04","HTML","","","",,,,,4,2.00,1,4,2,"… Here, we report on the validation of one increasingly popular tool (DeepLabCut) … –DeepLabCut (DLC v2.1.3; [6, 7]). We systematically compared 3D kinematic data generated via a DLC-…","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0276258","https://scholar.google.com/scholar?q=related:6z6KZeNZhp4J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
2,"D Berryman, J Barrett, C Liu, C Maugee…","Motor deficit and lack of overt dystonia in Dlx conditional Dyt1 knockout mice",2023,"Behavioural Brain …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0166432822004909","https://scholar.google.com/scholar?cites=12748464985550380308&as_sdt=2005&sciodt=2007&hl=en",17,"2024-02-14 17:48:04","","","","",,,,,2,2.00,0,5,1,"… We explored whether the application of DeepLabCut (DLC) markerless pose estimation of user-defined body parts with deep learning [62], [63] could quickly identify overt dystonia …","","https://scholar.google.com/scholar?q=related:FF08L1yl67AJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
1,"U Magana-Salgado, P Namburi…","A comparison of point-tracking algorithms in ultrasound videos from the upper limb",2023,"BioMedical Engineering …","Springer","https://link.springer.com/article/10.1186/s12938-023-01105-y","https://scholar.google.com/scholar?cites=18023208367830756857&as_sdt=2005&sciodt=2007&hl=en",18,"2024-02-14 17:48:04","HTML","10.1186/s12938-023-01105-y","","",,,,,1,1.00,0,3,1,"… , DeepLabCut (DLC), outperforms all four frame-to-frame trackers when tracking tissues in motion. DLC is … The only caveat found with DLC comes from its non-temporal tracking strategy, …","https://link.springer.com/article/10.1186/s12938-023-01105-y","https://scholar.google.com/scholar?q=related:-W1m_YRMH_oJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
25,"S Sheshadri, B Dann, T Hueser…","3D reconstruction toolbox for behavior tracked with multiple cameras",2020,"Journal of Open Source …","joss.theoj.org","https://joss.theoj.org/papers/10.21105/joss.01849.pdf","https://scholar.google.com/scholar?cites=14703726756282908245&as_sdt=2005&sciodt=2007&hl=en",19,"2024-02-14 17:48:04","PDF","10.21105/joss.01849","","",,,,,25,6.25,6,4,4,"… DLC, in addition to 2D tracking provides users with a … for 1000 example frames with DLC and 20 example frames with … In the demo data using DLC based 2D annotations, we obtain on …","https://joss.theoj.org/papers/10.21105/joss.01849.pdf","https://scholar.google.com/scholar?q=related:VT6mxpQhDswJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"H Azechi, S Takahashi","vmTracking: Virtual Markers Overcome Occlusion and Crowding in Multi-Animal Pose Tracking",2024,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2024.02.07.579241.abstract","",20,"2024-02-14 17:48:04","","10.1101/2024.02.07.579241.abstract","","",,,,,0,0.00,0,2,1,"… DeepLabCut (VMT-DLC). The scenes were differentiated by color into occlusion-crowded (OC) and nonocclusion-crowded (nOC) scenes. The filled circles represent the values for each …","https://www.biorxiv.org/content/biorxiv/early/2024/02/07/2024.02.07.579241.full.pdf","https://scholar.google.com/scholar?q=related:3WKDkvuCKOUJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
4,"C Liu, H Zhou, J Cao, X Guo, J Su, L Wang, S Lu, L Li","Behavior Trajectory Tracking of Piglets Based on DLC-KPCA",2021,"Agriculture","mdpi.com","https://www.mdpi.com/2077-0472/11/9/843","https://scholar.google.com/scholar?cites=12902696048971259327&as_sdt=2005&sciodt=2007&hl=en",21,"2024-02-14 17:48:04","","","","",,,,,4,1.33,1,8,3,"… First, a multi-pig trajectory tracking model was established based on DeepLabCut (DLC) to realize … Thus, the method based on DLC–KPCA can meet the requirements of identification of …","https://www.mdpi.com/2077-0472/11/9/843/pdf","https://scholar.google.com/scholar?q=related:v53E87GVD7MJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"S Grasso, R Bravi, E Quarta, V Sorgente…","Markerless Pose Estimation of DeepLabCut for Shoulder Motion Assessment in Patients with Cervical Spinal Cord Injury",2021,"XII National Congress …","iris.uniroma1.it","https://iris.uniroma1.it/handle/11573/1673334","",22,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,5,3,"… DeepLabCut (DLC), based on transfer learning with deep neural networks. This study evaluated the validity of DeepLabCut … the accuracy of the DeepLabCut contactless method to a …","","https://scholar.google.com/scholar?q=related:cAZSMIysUWkJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
28,"JF Schweihoff, M Loshakov, I Pavlova, L Kück…","DeepLabStream enables closed-loop behavioral experiments using deep learning-based markerless, real-time posture detection",2021,"Communications …","nature.com","https://www.nature.com/articles/s42003-021-01654-9","https://scholar.google.com/scholar?cites=2065406864960218815&as_sdt=2005&sciodt=2007&hl=en",23,"2024-02-14 17:48:04","HTML","","","",,,,,28,9.33,6,5,3,"… DeepLabCut (DLC) 19 , for example, uses trained deep neural networks to track the … We modified state-of-the-art pose estimation based on DLC 19 to be able to track the postures of …","https://www.nature.com/articles/s42003-021-01654-9","https://scholar.google.com/scholar?q=related:v2abxpnMqRwJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"V Marx","Mackenzie Weygandt Mathis",2022,"Nature Methods","nature.com","https://www.nature.com/articles/s41592-022-01438-x","",24,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,2,"… At its core, multi-animal DeepLabCut applies deep learning with an architecture … DeepLabCut, which builds on DeepLabCut (DLC), which the Mathises co-developed. DeepLabCut …","","https://scholar.google.com/scholar?q=related:fuGuNglSapgJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
10,"JF Schweihoff, M Loshakov, I Pavlova, L Kück…","DeepLabStream: Closing the loop using deep learning-based markerless, real-time posture detection",2019,"BioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2019.12.20.884478.abstract","https://scholar.google.com/scholar?cites=15896116927481695348&as_sdt=2005&sciodt=2007&hl=en",25,"2024-02-14 17:48:04","","10.1101/2019.12.20.884478.abstract","","",,,,,10,2.00,2,5,5,"… DeepLabCut (DLC), for example, uses trained deep neuronal networks to track the position … We modified state-of-the-art pose estimation based on DLC 1 to be able to track the postures …","https://www.biorxiv.org/content/biorxiv/early/2019/12/23/2019.12.20.884478.full.pdf","https://scholar.google.com/scholar?q=related:dMye0h9amtwJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"MO Ribas, A Caruso, M Micai, M Bernava…","Using Deeplabcut for Recognizing Early Motor Development Patterns Associated with Neurodevelopmental Disorders",,"Available at SSRN …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4490000","",26,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,5,,"… DeepLabCut (DLC) toolbox was used to train a model capable of tracking movement of 10 … Using the Percentage of Correct Key-points (PCKh) accuracy metric, the DLC’s tracking …","","https://scholar.google.com/scholar?q=related:hNl0GgVP60QJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
127,"O Sturman, L von Ziegler, C Schläppi, F Akyol…","Deep learning-based behavioral analysis reaches human accuracy and is capable of outperforming commercial solutions",2020,"…","nature.com","https://www.nature.com/articles/s41386-020-0776-y","https://scholar.google.com/scholar?cites=10388296487245910872&as_sdt=2005&sciodt=2007&hl=en",27,"2024-02-14 17:48:04","HTML","","","",,,,,127,31.75,25,5,4,"… This report shows that DeepLabCut (DLC) video tracking combined with simple post analyses can detect and quantify behavioral data as well as—if not better than—commercial …","https://www.nature.com/articles/s41386-020-0776-y","https://scholar.google.com/scholar?q=related:WBO7l52kKpAJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
27,"A Wrench, J Balch-Tomes","Beyond the edge: markerless pose estimation of speech articulators from ultrasound and camera images using DeepLabCut",2022,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/22/3/1133","https://scholar.google.com/scholar?cites=1697617360361054862&as_sdt=2005&sciodt=2007&hl=en",28,"2024-02-14 17:48:04","HTML","","","",,,,,27,13.50,14,2,2,"… By contrast, the DLC model trained in this study appears to generalise well. DLC includes a simple training package and the training data used in this study is available online. Thus, if …","https://www.mdpi.com/1424-8220/22/3/1133","https://scholar.google.com/scholar?q=related:jmLbsP4ljxcJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"GM Huntenburg, L Paninski, M Schartner, K Svoboda…","Video hardware and software for the International Brain Laboratory",,"scholar.archive.org","","https://scholar.archive.org/work/yddx5sbbq5gxdnvb7jxe2ba4vy/access/wayback/https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/34997188/2022_04_28_VideoAnalysis_Methods.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIYCQYOYV5JSSROOA/20220506/eu-west-1/s3/aws4_request&X-Amz-Date=20220506T042148Z&X-Amz-Expires=10&X-Amz-SignedHeaders=host&X-Amz-Signature=62120240045a2e640f37b0d56f5bd4f15155e35f760fc2f4f15a98c9618a2a33","",29,"2024-02-14 17:48:04","PDF","","","",,,,,0,0.00,0,5,,"… specialized DLC networks to those cropped videos. More specifically, an initial DLC network is … using the default approach implemented by DeepLabCut: videos from which to draw …","https://scholar.archive.org/work/yddx5sbbq5gxdnvb7jxe2ba4vy/access/wayback/https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/34997188/2022_04_28_VideoAnalysis_Methods.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIYCQYOYV5JSSROOA/20220506/eu-west-1/s3/aws4_request&X-Amz-Date=20220506T042148Z&X-Amz-Expires=10&X-Amz-SignedHeaders=host&X-Amz-Signature=62120240045a2e640f37b0d56f5bd4f15155e35f760fc2f4f15a98c9618a2a33","https://scholar.google.com/scholar?q=related:RiEJc7LBYQcJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"WSE Daley","Evaluation of DeepLabCut as a Human Markerless Motion Capture Tool",2023,"","dalspace.library.dal.ca","https://dalspace.library.dal.ca/handle/10222/82904","",30,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,1,"… capabilities of DeepLabCut and conditions (complexity of the feature set and camera … based on previous ICC results comparing DeepLabCut (DLC) to optical motion capture …","https://dalspace.library.dal.ca/bitstream/handle/10222/82904/WSethDaley2023.pdf?sequence=1","https://scholar.google.com/scholar?q=related:enSYVSsf2oAJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"B Berclaz","Using DeepLabCut to detect and quantify mirror movements in videos of children with cerebral palsy",2021,"","sonar.ch","https://sonar.ch/rerodoc/333492","",31,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,3,"… Dans ce contexte, DeepLabCut (DLC) est une méthode efficace pour l'estimation de pose en 3D sans marqueur, basée sur l'apprentissage par transfert avec des réseaux neuronaux …","https://sonar.ch/documents/317025/files/Berclaz_Brice_2021.pdf","https://scholar.google.com/scholar?q=related:-YKt0kxR_j8J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"A Athira","Automated tracking and analysis of mouse whisker movements",2019,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1415904","",32,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,5,"… To this end, we utilize a deep learning based framework called DeepLabCut to … , DeepLabCut does not use temporal filtering. In other words, tracking whisker in a video using DLC is …","https://www.diva-portal.org/smash/get/diva2:1415904/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:fDxQW68mRu8J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"PI Lead","An AI Toolkit for Video Phenotyping in Livestock",2022,"","ag2pi.org","https://www.ag2pi.org/resources/ag2pi-funded-seed-grants/round-3-narratives/AG2PI-Seed-Grant-2022-03-15_Brooks.pdf","",33,"2024-02-14 17:48:04","PDF","","","",,,,,0,0.00,0,1,2,"… This project will utilize a published machine learning package (DeepLabCut, DLC version 2.2b7 [11]) in combination with a custom gait analysis pipeline to produce quantitative …","https://www.ag2pi.org/resources/ag2pi-funded-seed-grants/round-3-narratives/AG2PI-Seed-Grant-2022-03-15_Brooks.pdf","https://scholar.google.com/scholar?q=related:u4bdqwOjEfUJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
2,"S Cataldi, C Lacefield, N Shashaank, G Kumar…","Decreased dorsomedial striatum direct pathway neuronal activity is required for learned motor coordination",2022,"eneuro","eneuro.org","https://www.eneuro.org/content/9/5/ENEURO.0169-22.2022.abstract","https://scholar.google.com/scholar?cites=1600639016854342472&as_sdt=2005&sciodt=2007&hl=en",34,"2024-02-14 17:48:04","","","","",,,,,2,1.00,0,5,2,"… To measure change in motor coordination over treadmill practice sessions, we used DeepLabCut (DLC) and custom-built code to analyze body position and paw movements. By …","https://www.eneuro.org/content/9/5/ENEURO.0169-22.2022.full","https://scholar.google.com/scholar?q=related:SMs7jbScNhYJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"S Sheshadri, T Hueser, B Dann…","2.2 Precise markerless tracking of the hand during object grasping",,"Neuron-level dynamics …","ediss.uni-goettingen.de","https://ediss.uni-goettingen.de/bitstream/handle/21.11130/00-1735-0000-0008-5990-1/GGNB2020_NetworkDynamicsAndKinematics_Sheshadri.pdf?sequence=1&isAllowed=y#page=103","",35,"2024-02-14 17:48:04","PDF","","","",,,,,0,0.00,0,4,,"… Importantly, we employ accurately annotated keypoints not only in unoccluded views but also in occluded views to train networks in DeepLabCut (DLC)(Mathis et al., 2018). To this end, …","https://ediss.uni-goettingen.de/bitstream/handle/21.11130/00-1735-0000-0008-5990-1/GGNB2020_NetworkDynamicsAndKinematics_Sheshadri.pdf?sequence=1&isAllowed=y#page=103","https://scholar.google.com/scholar?q=related:K3l8mob5nZIJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
10,"DD Moore, JD Walker, JN MacLean…","Validating markerless pose estimation with 3D X-ray radiography",2022,"Journal of …","journals.biologists.com","https://journals.biologists.com/jeb/article-abstract/225/9/jeb243998/275374","https://scholar.google.com/scholar?cites=1231193621316570959&as_sdt=2005&sciodt=2007&hl=en",36,"2024-02-14 17:48:04","","","","",,,,,10,5.00,3,4,2,"… Here, we evaluated the accuracy of DeepLabCut (DLC), a deep … We used the toolkit Anipose to filter and triangulate DLC … For studies allowing this relatively small error, DLC and …","https://www.biorxiv.org/content/biorxiv/early/2021/06/16/2021.06.15.448541.full.pdf","https://scholar.google.com/scholar?q=related:Tw9NUBMUFhEJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"M Itokazu","Medicine in Novel Technology and Devices",,"researchgate.net","","https://www.researchgate.net/profile/Masafumi-Itokazu-2/publication/365067777_Reliability_and_accuracy_of_2D_lower_limb_joint_angles_during_a_standing-up_motion_for_markerless_motion_analysis_software_using_deep_learning/links/6383e9b9554def61937bc7af/Reliability-and-accuracy-of-2D-lower-limb-joint-angles-during-a-standing-up-motion-for-markerless-motion-analysis-software-using-deep-learning.pdf","",37,"2024-02-14 17:48:04","PDF","","","",,,,,0,0.00,0,1,,"… OpenPose (OP) and DeepLabCut (DLC) are applications … This study compared OP and DLC estimates of lower extremity … from the video using OP, DLC, and Kinovea. To confirm …","https://www.researchgate.net/profile/Masafumi-Itokazu-2/publication/365067777_Reliability_and_accuracy_of_2D_lower_limb_joint_angles_during_a_standing-up_motion_for_markerless_motion_analysis_software_using_deep_learning/links/6383e9b9554def61937bc7af/Reliability-and-accuracy-of-2D-lower-limb-joint-angles-during-a-standing-up-motion-for-markerless-motion-analysis-software-using-deep-learning.pdf","https://scholar.google.com/scholar?q=related:hZrGFvSFrWoJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"M Zhou, W Qiu, N Ohashi, L Sun, ML Wronski…","Deep-Learning-Based Analysis Reveals a Social Behavior Deficit in Mice Exposed Prenatally to Nicotine",2024,"Cells","mdpi.com","https://www.mdpi.com/2073-4409/13/3/275","",38,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,6,1,"… using DeepLabCut and SimBA. We optimized the training parameters of DeepLabCut for pose … and social interaction between two mice using DeepLabCut (DLC), 10 min videos were …","https://www.mdpi.com/2073-4409/13/3/275/pdf","https://scholar.google.com/scholar?q=related:-rXqncQiyTcJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
